date,weight
2020-11-22,172.400
2020-11-22,172.600
2020-11-27,171.000
2020-12-03,168.600
2020-12-03,168.600
2020-12-03,168.400
2020-12-09,169.600
2020-12-11,168.400
2020-12-15,168.400
2020-12-24,170.000
2021-01-10,170.000
2021-01-10,170.000
2021-01-31,165.400
2021-07-04,168.800
2021-07-10,168.800
2021-07-23,168.400
2021-07-23,168.400
2021-07-23,168.400
2021-10-29,167.600
2023-09-10,182.600
2023-09-11,183.400
2023-09-11,183.400
2023-09-12,181.400
2023-09-13,179.600
2023-09-14,180.800
2023-09-14,180.800
2023-09-15,180.800
2023-09-17,181.600
2023-09-18,182.400
2023-09-20,182.400
2023-09-21,182.000
2023-10-01,182.800
2023-10-02,181.800
2023-10-04,180.800
2023-10-04,180.800
2023-10-05,180.400
2023-10-06,179.400
2023-10-07,180.400
2023-10-08,180.200
2023-10-09,181.400
2023-10-09,181.400
2023-10-10,180.600
2023-10-11,179.000
2023-10-12,178.400
2023-10-13,178.400
2023-10-13,178.400
2023-10-13,178.400
2023-10-13,178.400
2023-10-14,179.200
2023-10-15,179.200
2023-10-16,179.200
2023-10-17,179.400
2023-10-18,178.000
2023-10-18,178.000
2023-10-18,178.000
2023-10-18,178.000
2023-10-18,177.800
2023-10-19,177.600
2023-10-19,177.600
2023-10-20,176.000
2023-10-21,176.200
2023-10-21,176.200
2023-10-21,176.200
2023-10-22,178.000
2023-10-22,178.000
2023-10-22,178.000
2023-10-22,177.400
2023-10-23,179.600
2023-10-23,177.400
2023-10-24,178.400
2023-10-25,176.600
2023-10-26,178.800
2023-10-27,177.200
2023-10-28,177.400
2023-11-05,179.800
2023-11-06,177.200
2023-11-06,178.200
2023-11-06,178.200
2023-11-07,176.000
2023-11-07,176.200
2023-11-08,174.800
2023-11-09,176.200
2023-11-10,174.800
2023-11-13,176.200
2023-11-13,176.600
2023-11-14,177.200
2023-11-15,178.200
2023-11-15,178.400
2023-11-16,177.800
2023-11-17,176.200
2023-11-18,173.800
2023-11-19,174.000
2023-11-20,174.800
2023-11-22,176.200
2023-11-25,176.200
2023-11-25,177.400
2023-11-26,178.600
2023-11-27,176.400
2023-11-28,175.600
2023-11-29,175.400
2023-11-30,177.400
2023-12-01,176.400
2023-12-02,178.400
2023-12-03,179.200
2023-12-05,175.200
2023-12-09,173.600
2023-12-09,174.200
2023-12-10,172.400
2023-12-10,172.400
2023-12-11,171.200
2023-12-17,176.400
2023-12-19,177.400
2023-12-20,176.000
